NAME,B18101_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B18101_016E,B18101_019E,B18101_023E,B18101_026E,B18101_029E,B18101_032E,B18101_035E,B18101_038E,state,county,tract
Census Tract 169; Bronx County; New York,1759,7,13,5,25,53,0,0,6,55,150,13,9,36,005,016900
Census Tract 171; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,017100
Census Tract 173; Bronx County; New York,5254,0,13,11,280,162,61,0,0,200,108,333,477,36,005,017300
Census Tract 175; Bronx County; New York,6413,0,0,97,262,59,53,0,0,413,177,89,188,36,005,017500
Census Tract 177.01; Bronx County; New York,4163,0,25,87,40,61,41,0,0,135,151,0,14,36,005,017701
Census Tract 177.02; Bronx County; New York,5236,82,133,0,174,0,100,0,25,145,237,26,144,36,005,017702
Census Tract 179.01; Bronx County; New York,4993,0,22,86,131,66,0,0,0,92,398,50,92,36,005,017901
Census Tract 179.02; Bronx County; New York,3571,0,33,105,46,53,0,0,0,19,179,12,0,36,005,017902
Census Tract 181.01; Bronx County; New York,3340,0,239,35,99,0,0,0,0,0,126,72,108,36,005,018101
Census Tract 181.02; Bronx County; New York,4689,0,0,8,207,0,13,0,20,42,157,185,208,36,005,018102
Census Tract 183.01; Bronx County; New York,4427,38,0,43,109,56,132,0,29,16,151,102,273,36,005,018301
Census Tract 183.02; Bronx County; New York,3301,0,0,18,45,24,0,0,0,22,168,14,89,36,005,018302
Census Tract 184; Bronx County; New York,3994,0,6,12,133,11,39,0,0,6,116,77,66,36,005,018400
Census Tract 185.01; Bronx County; New York,3154,0,92,0,260,82,0,0,47,35,0,90,59,36,005,018501
Census Tract 185.02; Bronx County; New York,6651,0,0,57,310,35,0,0,157,0,329,101,102,36,005,018502
Census Tract 189; Bronx County; New York,8293,0,86,1,273,28,67,0,0,98,512,166,0,36,005,018900
Census Tract 193; Bronx County; New York,5751,0,0,80,228,102,60,0,79,40,375,177,181,36,005,019300
Census Tract 194; Bronx County; New York,1966,0,13,20,72,37,56,0,19,0,79,16,14,36,005,019400
Census Tract 195; Bronx County; New York,7286,0,201,0,162,34,0,0,44,171,402,362,113,36,005,019500
Census Tract 197; Bronx County; New York,7478,0,0,0,281,0,64,0,96,27,473,102,0,36,005,019700
Census Tract 199; Bronx County; New York,7300,37,76,0,211,132,0,0,0,269,257,94,37,36,005,019900
Census Tract 200; Bronx County; New York,4911,29,66,10,35,60,43,0,8,52,167,32,105,36,005,020000
Census Tract 201; Bronx County; New York,3950,0,14,32,75,34,30,0,0,84,160,29,80,36,005,020100
Census Tract 202; Bronx County; New York,2574,0,16,13,43,11,113,0,0,10,45,79,55,36,005,020200
Census Tract 204; Bronx County; New York,2944,0,17,46,62,29,7,0,0,42,68,12,16,36,005,020400
Census Tract 205.01; Bronx County; New York,7319,27,330,0,163,171,12,0,217,267,288,224,137,36,005,020501
Census Tract 205.02; Bronx County; New York,2393,0,0,19,54,34,49,0,0,68,70,88,39,36,005,020502
Census Tract 206.01; Bronx County; New York,2544,0,6,7,98,21,31,0,30,57,39,67,48,36,005,020601
Census Tract 209; Bronx County; New York,5225,0,15,62,98,0,41,0,0,0,198,87,60,36,005,020900
Census Tract 210.01; Bronx County; New York,7519,0,32,0,227,30,128,0,0,247,254,269,180,36,005,021001
Census Tract 210.02; Bronx County; New York,7453,0,27,0,123,41,98,0,0,74,243,93,193,36,005,021002
Census Tract 211; Bronx County; New York,6286,0,39,48,141,78,55,0,0,63,140,203,96,36,005,021100
Census Tract 212; Bronx County; New York,5227,0,18,0,132,154,171,0,0,84,108,112,85,36,005,021200
Census Tract 213.01; Bronx County; New York,1244,0,32,12,55,0,12,0,0,51,64,0,0,36,005,021301
Census Tract 213.02; Bronx County; New York,5604,0,91,0,211,58,172,0,36,29,317,158,438,36,005,021302
Census Tract 215.01; Bronx County; New York,4612,0,31,0,129,1,49,0,62,20,184,72,20,36,005,021501
Census Tract 215.02; Bronx County; New York,6953,0,116,14,274,91,94,0,0,28,564,0,9,36,005,021502
Census Tract 216.01; Bronx County; New York,4865,0,65,1,51,45,25,0,53,0,154,63,11,36,005,021601
Census Tract 216.02; Bronx County; New York,6344,0,36,40,79,143,59,0,0,90,86,5,51,36,005,021602
Census Tract 217; Bronx County; New York,5100,0,0,44,200,64,0,0,0,172,380,154,21,36,005,021700
Census Tract 218; Bronx County; New York,6041,0,0,0,332,20,31,0,0,125,328,141,31,36,005,021800
Census Tract 219; Bronx County; New York,1022,0,16,10,32,30,19,0,0,0,22,61,7,36,005,021900
Census Tract 220; Bronx County; New York,1901,0,53,10,69,25,22,0,0,21,131,40,23,36,005,022000
Census Tract 221.01; Bronx County; New York,3743,0,0,64,113,120,68,0,23,15,136,18,25,36,005,022101
Census Tract 221.02; Bronx County; New York,5896,0,31,11,226,152,37,0,64,15,398,29,33,36,005,022102
Census Tract 222; Bronx County; New York,3293,0,0,15,93,51,5,0,49,10,190,60,56,36,005,022200
Census Tract 223; Bronx County; New York,5207,0,52,61,284,85,0,70,44,71,160,29,139,36,005,022300
Census Tract 224.01; Bronx County; New York,2528,0,41,38,34,37,24,0,31,94,67,75,71,36,005,022401
Census Tract 224.03; Bronx County; New York,2788,47,24,35,126,0,0,0,42,47,113,26,55,36,005,022403
Census Tract 224.04; Bronx County; New York,4466,0,72,47,189,40,9,0,96,56,143,31,119,36,005,022404
Census Tract 225; Bronx County; New York,9408,0,31,32,512,0,104,0,88,59,367,23,68,36,005,022500
Census Tract 227.01; Bronx County; New York,4991,0,189,45,83,41,14,0,30,53,337,72,0,36,005,022701
Census Tract 227.02; Bronx County; New York,1277,0,0,10,33,15,0,0,0,29,114,18,11,36,005,022702
Census Tract 227.03; Bronx County; New York,1728,0,55,8,40,10,24,0,3,11,108,36,44,36,005,022703
Census Tract 228; Bronx County; New York,5623,0,0,23,121,42,0,0,0,50,207,85,85,36,005,022800
Census Tract 229.01; Bronx County; New York,5517,0,39,19,202,0,0,0,21,73,211,155,0,36,005,022901
Census Tract 229.02; Bronx County; New York,3239,0,8,9,10,77,0,0,51,69,175,36,43,36,005,022902
Census Tract 230; Bronx County; New York,2555,38,22,37,0,0,0,0,67,38,204,46,0,36,005,023000
Census Tract 231; Bronx County; New York,1420,0,71,0,0,19,0,0,55,13,19,55,38,36,005,023100
Census Tract 232; Bronx County; New York,2462,0,4,45,53,34,23,0,0,30,39,56,29,36,005,023200
Census Tract 233.01; Bronx County; New York,3742,0,0,20,62,80,14,0,0,7,182,65,89,36,005,023301
Census Tract 233.02; Bronx County; New York,3665,0,13,77,158,49,6,0,9,49,116,75,4,36,005,023302
Census Tract 235.01; Bronx County; New York,3322,0,58,22,84,71,16,0,0,8,201,20,152,36,005,023501
Census Tract 235.02; Bronx County; New York,4284,0,19,125,117,81,43,0,32,58,217,128,95,36,005,023502
Census Tract 236; Bronx County; New York,1596,0,20,0,34,22,10,0,10,0,39,13,32,36,005,023600
Census Tract 237.02; Bronx County; New York,1119,0,0,49,7,0,6,0,0,6,25,8,0,36,005,023702
Census Tract 237.03; Bronx County; New York,5081,0,79,38,146,69,0,0,0,167,173,42,66,36,005,023703
Census Tract 237.04; Bronx County; New York,3659,0,60,0,177,59,0,0,0,42,174,78,60,36,005,023704
Census Tract 238; Bronx County; New York,2394,0,5,55,34,1,21,0,5,15,128,18,30,36,005,023800
Census Tract 239; Bronx County; New York,9384,0,71,33,337,88,0,29,77,67,409,106,0,36,005,023900
Census Tract 240; Bronx County; New York,4147,0,25,10,90,44,38,21,0,26,225,30,21,36,005,024000
Census Tract 241; Bronx County; New York,6284,0,0,90,106,171,0,0,0,17,286,54,27,36,005,024100
Census Tract 243; Bronx County; New York,4401,0,0,7,194,12,0,0,28,45,407,190,85,36,005,024300
Census Tract 244; Bronx County; New York,2168,0,16,0,53,25,6,0,0,5,49,29,48,36,005,024400
Census Tract 245.01; Bronx County; New York,5043,0,83,43,248,140,16,0,47,88,325,131,90,36,005,024501
Census Tract 245.02; Bronx County; New York,3972,0,0,25,73,26,24,0,48,34,185,52,60,36,005,024502
Census Tract 246; Bronx County; New York,2117,18,31,23,66,26,7,0,0,7,24,11,47,36,005,024600
Census Tract 247; Bronx County; New York,1772,0,16,11,22,11,30,0,38,38,65,9,36,36,005,024700
Census Tract 248; Bronx County; New York,3227,0,0,0,143,0,28,0,29,10,172,49,83,36,005,024800
Census Tract 249; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,024900
Census Tract 250; Bronx County; New York,2755,0,0,0,20,0,55,0,5,0,21,15,73,36,005,025000
Census Tract 251; Bronx County; New York,6542,0,71,19,125,92,156,0,11,80,302,13,63,36,005,025100
Census Tract 252; Bronx County; New York,2586,0,59,30,51,0,60,0,0,0,49,0,6,36,005,025200
Census Tract 253; Bronx County; New York,5589,0,79,9,111,0,31,0,38,41,123,86,101,36,005,025300
Census Tract 254; Bronx County; New York,1967,0,6,0,25,20,69,0,21,0,63,16,95,36,005,025400
Census Tract 255; Bronx County; New York,6559,57,150,57,156,120,28,0,0,46,294,447,111,36,005,025500
Census Tract 256; Bronx County; New York,1613,0,11,13,46,10,16,0,0,21,59,6,86,36,005,025600
Census Tract 257; Bronx County; New York,1687,0,0,0,39,0,19,0,0,63,48,26,32,36,005,025700
Census Tract 261; Bronx County; New York,2077,0,30,4,60,13,10,0,0,36,66,29,60,36,005,026100
Census Tract 263; Bronx County; New York,6100,0,87,26,59,34,71,0,0,96,239,0,116,36,005,026300
Census Tract 264; Bronx County; New York,5735,0,0,44,94,1,26,0,90,81,45,61,92,36,005,026400
Census Tract 265; Bronx County; New York,7700,0,48,0,310,32,21,0,54,2,292,75,45,36,005,026500
Census Tract 266.01; Bronx County; New York,2864,0,0,46,69,8,43,0,0,21,60,72,123,36,005,026601
Census Tract 266.02; Bronx County; New York,5119,0,42,42,57,104,71,0,47,24,425,203,172,36,005,026602
Census Tract 267.01; Bronx County; New York,3759,0,57,0,61,59,15,0,19,15,92,0,75,36,005,026701
Census Tract 267.02; Bronx County; New York,7677,0,257,79,127,178,0,0,27,30,188,81,138,36,005,026702
Census Tract 269; Bronx County; New York,4185,0,22,0,153,20,100,0,0,27,365,88,39,36,005,026900
Census Tract 273; Bronx County; New York,6913,0,31,0,52,24,27,0,0,27,81,169,120,36,005,027300
Census Tract 274.01; Bronx County; New York,5111,0,0,110,269,86,55,0,20,0,216,38,55,36,005,027401
Census Tract 274.02; Bronx County; New York,3300,0,0,44,84,56,44,0,0,7,21,65,45,36,005,027402
Census Tract 276; Bronx County; New York,57,0,0,0,0,0,0,0,0,0,0,0,0,36,005,027600
Census Tract 277; Bronx County; New York,4188,0,0,106,263,0,7,0,0,79,198,48,20,36,005,027700
Census Tract 279; Bronx County; New York,7764,114,99,102,315,89,25,0,53,63,455,24,64,36,005,027900
Census Tract 281; Bronx County; New York,3307,0,0,9,58,81,23,0,0,0,53,95,166,36,005,028100
Census Tract 283; Bronx County; New York,2486,0,0,0,339,0,0,0,0,12,107,64,12,36,005,028300
Census Tract 284; Bronx County; New York,176,0,0,36,29,0,0,0,0,0,50,0,0,36,005,028400
Census Tract 285; Bronx County; New York,3309,0,0,14,297,0,54,0,19,0,39,27,60,36,005,028500
Census Tract 286; Bronx County; New York,1014,0,0,19,24,0,57,0,0,5,7,4,55,36,005,028600
Census Tract 287; Bronx County; New York,3442,0,46,44,32,0,98,0,0,105,64,14,57,36,005,028700
Census Tract 288; Bronx County; New York,2678,0,98,0,54,0,21,0,0,32,11,58,45,36,005,028800
Census Tract 289; Bronx County; New York,4259,0,91,58,115,0,10,0,0,46,53,13,122,36,005,028900
Census Tract 293.01; Bronx County; New York,1684,0,0,19,7,40,35,0,0,11,9,32,65,36,005,029301
Census Tract 293.02; Bronx County; New York,5304,0,128,0,84,42,201,0,102,0,91,90,173,36,005,029302
Census Tract 295; Bronx County; New York,4639,0,0,62,71,132,57,0,25,9,67,52,67,36,005,029500
Census Tract 296; Bronx County; New York,2280,0,0,18,10,19,36,0,0,42,51,26,15,36,005,029600
Census Tract 297; Bronx County; New York,3920,0,19,60,41,33,116,0,22,15,172,49,330,36,005,029700
Census Tract 300; Bronx County; New York,6764,0,27,70,28,45,88,0,22,25,69,96,180,36,005,030000
Census Tract 301; Bronx County; New York,1226,0,0,1,0,11,8,0,0,0,14,21,50,36,005,030100
Census Tract 302.01; Bronx County; New York,3684,0,0,14,137,24,52,0,0,12,106,40,120,36,005,030201
Census Tract 302.02; Bronx County; New York,6146,0,76,0,32,79,13,0,71,45,153,56,134,36,005,030202
Census Tract 307.01; Bronx County; New York,5492,0,35,76,29,25,171,0,0,0,58,49,161,36,005,030701
Census Tract 309; Bronx County; New York,2908,0,0,19,27,0,111,0,0,29,3,60,342,36,005,030900
Census Tract 310; Bronx County; New York,3529,0,0,42,42,15,64,0,0,17,25,36,77,36,005,031000
Census Tract 312; Bronx County; New York,1594,0,0,1,9,10,13,0,0,9,8,25,48,36,005,031200
Census Tract 314; Bronx County; New York,2007,0,0,7,11,43,33,0,0,2,26,22,59,36,005,031400
Census Tract 316; Bronx County; New York,1842,0,5,8,42,10,74,0,0,5,98,4,55,36,005,031600
Census Tract 318; Bronx County; New York,1885,0,32,15,12,16,15,0,0,0,20,10,41,36,005,031800
Census Tract 319; Bronx County; New York,759,0,0,0,0,0,4,0,0,38,13,0,19,36,005,031900
Census Tract 323; Bronx County; New York,4734,0,52,0,66,69,239,0,0,0,76,92,179,36,005,032300
Census Tract 324; Bronx County; New York,2916,0,53,5,1,56,0,0,34,17,84,70,94,36,005,032400
Census Tract 326; Bronx County; New York,3290,0,10,41,51,11,89,0,0,0,56,27,56,36,005,032600
Census Tract 328; Bronx County; New York,4056,0,42,56,152,13,0,0,21,23,216,88,82,36,005,032800
Census Tract 330; Bronx County; New York,5014,0,0,24,110,66,89,0,0,87,163,142,69,36,005,033000
Census Tract 332.01; Bronx County; New York,4118,0,64,27,214,72,35,0,0,26,121,154,169,36,005,033201
Census Tract 332.02; Bronx County; New York,2987,0,0,0,65,40,27,0,0,0,157,147,156,36,005,033202
Census Tract 334; Bronx County; New York,26,0,0,5,0,0,0,0,0,0,0,0,0,36,005,033400
Census Tract 335; Bronx County; New York,2101,0,0,23,20,11,19,0,0,35,11,0,70,36,005,033500
Census Tract 336.01; Bronx County; New York,5011,0,40,58,126,106,42,0,15,53,261,85,224,36,005,033601
Census Tract 336.02; Bronx County; New York,1155,0,16,9,0,53,0,0,0,0,45,69,47,36,005,033602
Census Tract 337; Bronx County; New York,2847,0,0,0,90,11,95,0,0,0,89,78,160,36,005,033700
Census Tract 338.01; Bronx County; New York,2119,0,17,7,49,0,35,0,0,0,20,55,43,36,005,033801
Census Tract 338.02; Bronx County; New York,1809,0,12,0,30,43,0,0,0,11,52,1,9,36,005,033802
Census Tract 340; Bronx County; New York,5270,0,20,116,174,15,36,0,23,35,99,25,53,36,005,034000
Census Tract 342; Bronx County; New York,1518,0,2,0,61,15,27,0,0,0,37,2,9,36,005,034200
Census Tract 343; Bronx County; New York,1681,0,10,22,17,2,0,0,3,0,52,1,4,36,005,034300
Census Tract 344; Bronx County; New York,1940,0,31,21,8,48,7,0,0,24,62,17,26,36,005,034400
Census Tract 345; Bronx County; New York,4117,0,19,87,113,93,56,0,0,24,132,45,120,36,005,034500
Census Tract 348; Bronx County; New York,6194,0,61,60,85,26,47,0,0,28,213,20,206,36,005,034800
Census Tract 350; Bronx County; New York,2023,0,12,33,26,11,7,0,0,1,53,11,30,36,005,035000
Census Tract 351; Bronx County; New York,3723,0,0,63,25,0,24,0,0,163,56,8,22,36,005,035100
Census Tract 356; Bronx County; New York,2069,0,0,14,55,4,15,0,0,39,36,5,61,36,005,035600
