StateFIPS,State,CensusTract,Census Tract,Year,Annual number of extreme heat days,Data Comment,,"Heat Metric""Relative Threshold"
36,New York,36001000501,"Albany County, NY - 36001000501",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000501,"Albany County, NY - 36001000501",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000501,"Albany County, NY - 36001000501",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000501,"Albany County, NY - 36001000501",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000501,"Albany County, NY - 36001000501",2023,24,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2018,33,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000502,"Albany County, NY - 36001000502",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
